71,72,Drake,Controlla,"670,611"
72,73,The Chainsmokers,Setting Fires,"670,041"
73,74,Mike Perry,The Ocean (feat. Shy Martin),"665,056"
74,75,MC G15,Deu Onda,"664,898"
75,76,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"661,546"
76,77,Little Mix,Shout Out to My Ex,"658,647"
77,78,Coldplay,Hymn for the Weekend - Seeb Remix,"657,727"
78,79,DNCE,Cake By The Ocean,"650,401"
79,80,Petit Biscuit,Sunset Lover,"640,308"
80,81,Carlos Vives,La Bicicleta,"634,047"
81,82,Sebastian Yatra,Traicionera,"630,107"
82,83,Ariana Grande,Into You,"629,672"
83,84,Rob $tone,Chill Bill,"625,663"
84,85,Sia,The Greatest,"624,440"
85,86,Lukas Graham,7 Years,"622,987"
86,87,21 Savage,X (feat. Future),"621,787"
87,88,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"619,993"
88,89,Rihanna,Needed Me,"607,641"
89,90,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"602,074"
90,91,Ed Sheeran,Photograph,"595,989"
91,92,Jon Bellion,All Time Low,"587,502"
92,93,FRENSHIP,Capsize,"583,636"
93,94,Bruno Mars,Versace on the Floor,"574,420"
94,95,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"572,652"
95,96,Adele,Send My Love (To Your New Lover),"571,475"
96,97,Drake,Sneakin’,"566,090"
97,98,Andy Grammer,Fresh Eyes,"565,662"
98,99,DJ Snake,Middle,"561,884"
99,100,Bebe Rexha,I Got You,"561,031"
100,101,Niall Horan,This Town,"559,637"
101,102,The Weeknd,Sidewalks,"558,947"
102,103,Daddy Yankee,Shaky Shaky,"556,574"
103,104,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,"553,389"
104,105,Hearts & Colors,Lighthouse - Andrelli Remix,"550,199"
105,106,Jonas Blue,Fast Car,"550,074"
106,107,Enrique Iglesias,DUELE EL CORAZON,"543,868"
107,108,G-Eazy,"Me, Myself & I","538,372"
108,109,Ed Sheeran,Thinking out Loud,"536,343"
109,110,Calum Scott,Dancing On My Own,"532,788"
110,111,21 Savage,No Heart,"529,425"
111,112,MØ,Final Song,"525,029"
112,113,The Weeknd,Six Feet Under,"519,587"
113,114,Ozuna,Dile Que Tu Me Quieres,"516,691"
114,115,Cheat Codes,Sex,"513,533"
115,116,AJR,Weak,"511,537"
116,117,Major Lazer,Lean On (feat. MØ & DJ Snake),"509,567"
117,118,Galantis,Love on Me,"508,791"
118,119,Young M.A,OOOUUU,"508,480"
119,120,IAmChino,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","503,937"
120,121,Childish Gambino,Redbone,"503,581"
121,122,Nause,Dynamite (feat. Pretty Sister),"494,862"
122,123,Adele,Hello,"486,853"
123,124,Shawn Mendes,Stitches,"480,970"
124,125,ZAYN,PILLOWTALK,"480,762"
125,126,The Chainsmokers,Roses,"470,906"
126,127,Zara Larsson,Lush Life,"470,838"
127,128,G-Eazy,Some Kind Of Drug,"469,973"
128,129,Zara Larsson,Ain't My Fault,"467,327"
129,130,Flume,Never Be Like You,"464,598"
130,131,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),"462,404"
131,132,Young Thug,pick up the phone,"457,155"
132,133,Justin Bieber,What Do You Mean?,"453,623"
133,134,Lil Uzi Vert,You Was Right,"452,619"
134,135,KYLE,iSpy (feat. Lil Yachty),"451,890"
135,136,J. Cole,Neighbors,"450,275"
136,137,Maluma,Borro Cassette,"445,866"
137,138,State of Sound,Wake Up Where You Are,"445,598"
138,139,Rihanna,Love On The Brain,"444,847"
139,140,Chino & Nacho,Andas En Mi Cabeza,"442,339"
140,141,Sean Paul,No Lie,"441,006"
141,142,James Hersey,Miss You,"440,223"
142,143,Piso 21,Me Llamas (feat. Maluma) - Remix,"437,581"
143,144,Wisin,Vacaciones,"435,983"
144,145,San Holo,Light,"432,115"
145,146,The Weeknd,Reminder,"430,758"
146,147,Galantis,No Money,"423,143"
147,148,James Bay,Let It Go,"420,478"
148,149,Drake,Hotline Bling,"417,138"
149,150,KREAM,Taped up Heart (feat. Clara Mae),"413,566"
150,151,Drake,Jumpman,"412,700"
151,152,Dante Klein,Let Me Hold You (Turn Me On),"410,839"
152,153,The Weeknd,Rockin’,"406,995"
153,154,The Weeknd,The Hills,"405,112"
154,155,Little Mix,Touch,"404,835"
155,156,MiC LOWRY,Oh Lord,"403,667"
156,157,Joel Adams,Please Don't Go,"403,224"
157,158,Bruno Mars,That's What I Like,"401,377"
158,159,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack","396,431"
159,160,Rae Sremmurd,Swang,"396,407"
160,161,J. Cole,Immortal,"395,293"
161,162,Tove Lo,Cool Girl,"392,866"
162,163,JP Cooper,September Song,"392,761"
163,164,Kiiara,Gold,"391,927"
164,165,The Weeknd,Die For You,"391,621"
165,166,Coldplay,Hymn for the Weekend,"389,306"
166,167,Maluma,Cuatro Babys,"388,949"
167,168,DVBBS,Not Going Home,"386,039"
168,169,Anne-Marie,Alarm,"385,314"
169,170,Marc E. Bassy,You & Me,"385,310"
170,171,Future,Low Life,"382,326"
171,172,J. Cole,No Role Modelz,"379,293"
172,173,Charly Black,Gyal You A Party Animal - Remix,"378,965"
173,174,David Guetta,Would I Lie to You - Radio Edit,"373,378"
174,175,Lady Gaga,Million Reasons,"372,515"
175,176,The Weeknd,Can't Feel My Face,"369,748"
176,177,The Weeknd,Secrets,"363,207"
177,178,John Legend,All of Me,"353,955"
178,179,Milky Chance,Cocoon,"352,419"
179,180,The Weeknd,True Colors,"351,868"
180,181,Passenger,Let Her Go,"349,450"
181,182,Sam Smith,Stay With Me,"348,449"
182,183,Adele,When We Were Young,"347,678"
183,184,Mura Masa,Love$ick (feat. A$AP Rocky),"347,540"
184,185,Flume,Say It (feat. Tove Lo),"347,124"
185,186,Coldplay,The Scientist,"346,351"
186,187,Coldplay,Adventure of a Lifetime,"346,139"
187,188,Post Malone,White Iverson,"343,936"
188,189,Farruko,Chillax (feat. Ky-Mani Marley),"343,803"
189,190,Future,Used to This,"340,091"
190,191,Eminem,'Till I Collapse,"338,505"
191,192,Nicky Jam,Hasta el Amanecer,"337,746"
192,193,Robin Schulz,Sugar (feat. Francesco Yates),"337,421"
193,194,Flo Rida,My House,"336,015"
194,195,Mark Ronson,Uptown Funk,"335,565"
195,196,Maroon 5,Sugar,"335,115"
196,197,Selena Gomez,Kill Em With Kindness,"333,694"
197,198,The Killers,Mr. Brightside,"333,579"
198,199,Bryson Tiller,Don't,"331,803"
199,200,Hozier,Take Me To Church,"330,936"
0,1,The Weeknd,Starboy,"3,563,076"
1,2,The Chainsmokers,Closer,"3,175,128"
2,3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,892,451"
3,4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","2,710,150"
4,5,DJ Snake,Let Me Love You,"2,663,869"
5,6,Maroon 5,Don't Wanna Know,"2,565,521"
6,7,James Arthur,Say You Won't Let Go,"2,495,021"
7,8,Drake,Fake Love,"2,402,911"
8,9,The Weeknd,I Feel It Coming,"2,338,067"
9,10,Bruno Mars,24K Magic,"2,280,795"
10,11,Rae Sremmurd,Black Beatles,"2,178,247"
11,12,Drake,One Dance,"2,009,154"
12,13,Shakira,Chantaje (feat. Maluma),"1,990,513"
13,14,Starley,Call On Me - Ryan Riback Extended Remix,"1,961,999"
14,15,Martin Garrix,In the Name of Love,"1,937,665"
15,16,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,919,477"
16,17,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,841,773"
17,18,Steve Aoki,Just Hold On,"1,807,536"
18,19,Ariana Grande,Side To Side,"1,767,049"
19,20,Hailee Steinfeld,Starving,"1,712,546"
20,21,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,689,239"
21,22,Shawn Mendes,Mercy,"1,653,440"
22,23,The Chainsmokers,All We Know,"1,561,672"
23,24,Calvin Harris,My Way,"1,493,736"
24,25,Twenty One Pilots,Heathens,"1,478,295"
25,26,Shawn Mendes,Treat You Better,"1,467,423"
26,27,The Chainsmokers,Don't Let Me Down,"1,422,968"
27,28,Alessia Cara,Scars To Your Beautiful,"1,378,110"
28,29,The Vamps,All Night,"1,333,910"
29,30,John Legend,Love Me Now,"1,308,910"
30,31,Jonas Blue,By Your Side,"1,284,803"
31,32,Sage The Gemini,Now and Later,"1,277,848"
32,33,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,267,550"
33,34,Zara Larsson,I Would Like,"1,257,416"
34,35,Robin Schulz,Shed a Light,"1,236,765"
35,36,Nevada,The Mack,"1,224,150"
36,37,CNCO,Reggaetón Lento (Bailemos),"1,191,805"
37,38,Alok,Hear Me Now,"1,188,910"
38,39,Sia,Cheap Thrills,"1,187,880"
39,40,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"1,184,008"
40,41,Alan Walker,Alone,"1,151,007"
41,42,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,093,336"
42,43,Alessia Cara,"How Far I'll Go - From ""Moana""","1,085,103"
43,44,Aminé,Caroline,"1,058,375"
44,45,J Balvin,Safari,"1,044,810"
45,46,DRAM,Broccoli (feat. Lil Yachty),"1,041,508"
46,47,Calvin Harris,This Is What You Came For,"998,694"
47,48,Ricky Martin,Vente Pa' Ca,"978,607"
48,49,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"977,577"
49,50,Zion & Lennox,Otra vez (feat. J Balvin),"960,846"
50,51,Big Sean,Bounce Back,"917,753"
51,52,Sia,The Greatest,"910,475"
52,53,The Weeknd,Party Monster,"903,776"
53,54,NEIKED,Sexual,"892,451"
54,55,Martin Jensen,Solo Dance,"882,787"
55,56,J. Cole,Deja Vu,"877,618"
56,57,Jonas Blue,Perfect Strangers,"860,118"
57,58,Twenty One Pilots,Ride,"858,126"
58,59,Rag'n'Bone Man,Human,"841,802"
59,60,Noah Cyrus,Make Me (Cry),"829,868"
60,61,Rihanna,Work,"810,565"
61,62,Drake,Too Good,"804,635"
62,63,gnash,"i hate u, i love u (feat. olivia o'brien)","804,617"
63,64,Adele,Water Under the Bridge,"801,876"
64,65,Twenty One Pilots,Stressed Out,"790,310"
65,66,Luke Christopher,Lot to Learn,"783,013"
66,67,Alan Walker,Faded,"768,721"
67,68,Justin Bieber,Love Yourself,"765,363"
68,69,Desiigner,Panda,"756,176"
69,70,The Chainsmokers,Setting Fires,"736,797"
70,71,Justin Bieber,Sorry,"722,759"
71,72,Petit Biscuit,Sunset Lover,"722,179"
72,73,Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),"720,940"
73,74,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","717,655"
74,75,Coldplay,Hymn for the Weekend - Seeb Remix,"713,104"
75,76,Drake,Controlla,"702,649"
76,77,Mike Perry,The Ocean (feat. Shy Martin),"699,588"
77,78,21 Savage,X (feat. Future),"688,849"
78,79,Little Mix,Shout Out to My Ex,"687,060"
79,80,Rob $tone,Chill Bill,"685,579"
80,81,Jon Bellion,All Time Low,"678,673"
81,82,MC G15,Deu Onda,"667,689"
82,83,Rihanna,Needed Me,"667,390"
83,84,Ariana Grande,Into You,"662,335"
84,85,Sebastian Yatra,Traicionera,"653,860"
85,86,DNCE,Cake By The Ocean,"649,265"
86,87,Ed Sheeran,Photograph,"646,907"
87,88,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,"646,225"
88,89,Carlos Vives,La Bicicleta,"644,289"
89,90,Lukas Graham,7 Years,"643,253"
90,91,Vice,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),"638,643"
91,92,Bruno Mars,Versace on the Floor,"633,681"
92,93,Bebe Rexha,I Got You,"632,312"
93,94,Drake,Sneakin’,"631,385"
94,95,FRENSHIP,Capsize,"627,164"
95,96,The Weeknd,Sidewalks,"621,313"
96,97,Andy Grammer,Fresh Eyes,"619,191"
97,98,Sia,The Greatest,"619,133"
98,99,Hearts & Colors,Lighthouse - Andrelli Remix,"616,045"
99,100,Adele,Send My Love (To Your New Lover),"598,681"
100,101,AJR,Weak,"596,703"
101,102,Niall Horan,This Town,"592,946"
102,103,DJ Snake,Middle,"590,931"
103,104,Zay Hilfigerrr,Juju On That Beat (TZ Anthem),"590,437"
104,105,Childish Gambino,Redbone,"585,346"
105,106,The Weeknd,Six Feet Under,"582,397"
